teamstatspk,Team,games_played,wins,losses,win_percentage,Min,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throw_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,blocks_attempted,personal_fouls,personal_fouls_drawn,plus_minus,season
205,Orlando Magic,82,25,57,0.305,3946,8479,3182,7042,45.2,844,2405,35.1,1271,1678,75.7,722,2692,3414,1921,1192,622,400,402,1579,1556,-395,2017-18
206,Atlanta Hawks,82,24,58,0.293,3941,8475,3130,7015,44.6,917,2544,36,1298,1654,78.5,743,2693,3436,1946,1274,638,348,453,1606,1661,-447,2017-18
207,Dallas Mavericks,82,24,58,0.293,3961,8390,3128,7042,44.4,967,2688,36,1167,1530,76.3,666,2717,3383,1858,1007,578,310,369,1578,1604,-249,2017-18
208,Memphis Grizzlies,82,22,60,0.268,3941,8145,3013,6788,44.4,758,2152,35.2,1361,1732,78.6,779,2544,3323,1767,1227,613,396,421,1900,1674,-509,2017-18
209,Phoenix Suns,82,21,61,0.256,3941,8522,3153,7141,44.2,763,2286,33.4,1453,1962,74.1,842,2776,3618,1743,1289,569,370,488,1807,1715,-768,2017-18
210,Golden State Warriors,82,67,15,0.817,3956,9503,3532,7140,49.5,982,2562,38.3,1457,1850,78.8,770,2873,3643,2491,1211,785,555,313,1585,1588,954,2016-17
211,San Antonio Spurs,82,61,21,0.744,3961,8637,3222,6864,46.9,753,1927,39.1,1440,1806,79.7,821,2777,3598,1954,1101,655,484,333,1498,1623,590,2016-17
212,Houston Rockets,82,55,27,0.671,3956,9458,3305,7152,46.2,1181,3306,35.7,1667,2177,76.6,892,2746,3638,2070,1240,670,352,409,1634,1674,473,2016-17
213,Boston Celtics,82,53,29,0.646,3951,8857,3168,6977,45.4,985,2741,35.9,1536,1903,80.7,743,2698,3441,2069,1088,617,340,425,1686,1664,216,2016-17
214,Cleveland Cavaliers,82,51,31,0.622,3976,9048,3275,6963,47,1067,2779,38.4,1431,1913,74.8,766,2821,3587,1858,1121,539,327,349,1486,1690,261,2016-17
215,LA Clippers,82,51,31,0.622,3951,8911,3242,6820,47.5,841,2245,37.5,1586,2128,74.5,738,2790,3528,1848,1062,612,347,258,1626,1835,352,2016-17
216,Toronto Raptors,82,51,31,0.622,3956,8762,3211,6918,46.4,725,1996,36.3,1615,2028,79.6,871,2676,3547,1517,1041,677,400,392,1708,1666,345,2016-17
217,Utah Jazz,82,51,31,0.622,3951,8258,3033,6515,46.6,791,2128,37.2,1401,1875,74.7,771,2774,3545,1651,1118,550,410,312,1545,1655,323,2016-17
218,Washington Wizards,82,49,33,0.598,3971,8953,3388,7137,47.5,756,2030,37.2,1421,1812,78.4,843,2671,3514,1956,1162,693,336,377,1745,1621,148,2016-17
219,Oklahoma City Thunder,82,47,35,0.573,3961,8741,3237,7169,45.2,692,2116,32.7,1575,2113,74.5,1002,2821,3823,1721,1230,648,408,450,1715,1697,62,2016-17
220,Atlanta Hawks,82,43,39,0.524,3976,8459,3123,6918,45.1,729,2137,34.1,1484,2039,72.8,842,2793,3635,1938,1294,672,397,424,1491,1768,-70,2016-17
221,Memphis Grizzlies,82,43,39,0.524,3981,8239,2984,6854,43.5,767,2169,35.4,1504,1918,78.4,886,2621,3507,1744,1059,653,344,410,1840,1708,40,2016-17
222,Indiana Pacers,82,42,40,0.512,3971,8618,3221,6931,46.5,709,1885,37.6,1467,1811,81,742,2702,3444,1844,1130,669,409,407,1597,1599,-18,2016-17
223,Milwaukee Bucks,82,42,40,0.512,3956,8497,3182,6715,47.4,720,1946,37,1413,1839,76.8,723,2589,3312,1984,1145,666,436,375,1660,1579,-15,2016-17
224,Chicago Bulls,82,41,41,0.5,3956,8435,3169,7141,44.4,623,1831,34,1474,1848,79.8,999,2797,3796,1851,1112,643,393,378,1455,1541,35,2016-17
225,Miami Heat,82,41,41,0.5,3956,8460,3202,7037,45.5,808,2213,36.5,1248,1768,70.6,872,2705,3577,1742,1102,588,469,398,1680,1530,87,2016-17
226,Portland Trail Blazers,82,41,41,0.5,3986,8851,3243,7059,45.9,852,2272,37.5,1513,1940,78,830,2750,3580,1733,1126,574,408,431,1736,1624,-43,2016-17
227,Denver Nuggets,82,40,42,0.488,3951,9161,3377,7194,46.9,870,2365,36.8,1537,1986,77.4,966,2837,3803,2077,1226,568,323,404,1567,1653,42,2016-17
228,Detroit Pistons,82,37,45,0.451,3961,8309,3269,7282,44.9,631,1915,33,1140,1586,71.9,908,2838,3746,1732,973,574,310,339,1467,1434,-92,2016-17
229,Charlotte Hornets,82,36,46,0.439,3966,8601,3093,7000,44.2,824,2347,35.1,1591,1953,81.5,721,2853,3574,1891,942,571,390,450,1360,1631,16,2016-17
230,New Orleans Pelicans,82,34,48,0.415,3981,8556,3210,7130,45,768,2196,35,1368,1825,75,703,2879,3582,1869,1054,638,453,348,1490,1581,-172,2016-17
231,Dallas Mavericks,82,33,49,0.402,3956,8029,2968,6750,44,878,2473,35.5,1215,1516,80.1,647,2516,3163,1705,972,614,307,280,1567,1591,-240,2016-17
232,Sacramento Kings,82,32,50,0.39,3976,8430,3105,6734,46.1,737,1960,37.6,1483,1913,77.5,715,2652,3367,1844,1201,627,324,420,1667,1646,-318,2016-17
233,Minnesota Timberwolves,82,31,51,0.378,3961,8657,3235,6922,46.7,601,1723,34.9,1586,1986,79.9,938,2540,3478,1940,1150,654,370,413,1646,1681,-91,2016-17
234,New York Knicks,82,31,51,0.378,3971,8556,3244,7256,44.7,704,2022,34.8,1364,1731,78.8,983,2723,3706,1786,1139,581,455,377,1668,1516,-301,2016-17
235,Orlando Magic,82,29,53,0.354,3961,8288,3139,7133,44,701,2139,32.8,1309,1753,74.7,807,2734,3541,1820,1091,580,396,419,1584,1532,-539,2016-17
236,Philadelphia 76ers,82,28,54,0.341,3966,8400,3088,6992,44.2,831,2443,34,1393,1806,77.1,807,2706,3513,1949,1366,692,420,446,1793,1610,-467,2016-17
237,Los Angeles Lakers,82,26,56,0.317,3941,8575,3224,7164,45,730,2110,34.6,1397,1853,75.4,933,2636,3569,1716,1243,674,320,440,1698,1520,-564,2016-17
238,Phoenix Suns,82,24,58,0.293,3966,8831,3270,7260,45,615,1854,33.2,1676,2159,77.6,976,2712,3688,1604,1265,673,399,435,2030,1822,-462,2016-17
239,Brooklyn Nets,82,20,62,0.244,3951,8673,3102,6987,44.4,877,2591,33.8,1592,2020,78.8,721,2879,3600,1756,1356,593,387,457,1726,1671,-552,2016-17
240,Golden State Warriors,82,73,9,0.89,3976,9421,3489,7159,48.7,1077,2592,41.6,1366,1790,76.3,816,2972,3788,2373,1245,689,498,336,1701,1627,882,2015-16
241,San Antonio Spurs,82,67,15,0.817,3941,8490,3289,6797,48.4,570,1518,37.5,1342,1672,80.3,770,2831,3601,2010,1071,677,485,317,1433,1597,872,2015-16
242,Cleveland Cavaliers,82,57,25,0.695,3971,8555,3171,6888,46,880,2428,36.2,1333,1783,74.8,873,2777,3650,1861,1114,551,317,362,1666,1690,492,2015-16
243,Toronto Raptors,82,56,26,0.683,3956,8422,3006,6669,45.1,708,1915,37,1702,2190,77.7,836,2724,3560,1536,1073,636,449,442,1610,1801,369,2015-16
244,Oklahoma City Thunder,82,55,27,0.671,3966,9038,3372,7082,47.6,678,1945,34.9,1616,2067,78.2,1071,2916,3987,1883,1305,603,487,373,1691,1653,597,2015-16
245,LA Clippers,82,53,29,0.646,3966,8569,3141,6759,46.5,797,2190,36.4,1490,2152,69.2,721,2727,3448,1873,1063,709,460,259,1746,1842,351,2015-16
246,Atlanta Hawks,82,48,34,0.585,3966,8433,3168,6923,45.8,815,2326,35,1282,1638,78.3,679,2772,3451,2100,1226,747,486,411,1570,1500,296,2015-16
247,Boston Celtics,82,48,34,0.585,3956,8669,3216,7318,43.9,717,2142,33.5,1520,1929,78.8,950,2733,3683,1981,1127,752,348,450,1796,1718,263,2015-16
248,Charlotte Hornets,82,48,34,0.585,3971,8479,3036,6922,43.9,873,2410,36.2,1534,1941,79,734,2869,3603,1778,1029,595,438,448,1487,1670,223,2015-16
249,Miami Heat,82,48,34,0.585,3966,8204,3150,6697,47,498,1480,33.6,1406,1889,74.4,807,2811,3618,1709,1155,553,531,337,1502,1608,135,2015-16
250,Indiana Pacers,82,45,37,0.549,3976,8377,3142,6985,45,663,1889,35.1,1430,1872,76.4,847,2779,3626,1741,1219,742,391,366,1641,1676,140,2015-16
251,Detroit Pistons,82,44,38,0.537,3976,8361,3111,7087,43.9,740,2148,34.5,1399,2095,66.8,1021,2777,3798,1594,1110,573,304,366,1557,1773,50,2015-16
252,Portland Trail Blazers,82,44,38,0.537,3961,8622,3167,7040,45,864,2336,37,1424,1889,75.4,948,2782,3730,1748,1200,562,380,424,1782,1597,68,2015-16
253,Chicago Bulls,82,42,40,0.512,3981,8335,3165,7170,44.1,651,1753,37.1,1354,1720,78.7,907,2889,3796,1870,1141,495,470,465,1545,1535,-121,2015-16
254,Dallas Mavericks,82,42,40,0.512,4001,8388,3064,6900,44.4,806,2342,34.4,1454,1831,79.4,751,2781,3532,1813,1047,560,306,363,1595,1757,-25,2015-16
255,Memphis Grizzlies,82,42,40,0.512,3966,8126,3019,6859,44,504,1521,33.1,1584,2024,78.3,916,2497,3413,1697,1090,724,350,469,1783,1732,-184,2015-16
256,Houston Rockets,82,41,41,0.5,3966,8737,3094,6847,45.2,878,2533,34.7,1671,2407,69.4,930,2601,3531,1821,1307,821,430,404,1790,1847,16,2015-16
257,Washington Wizards,82,41,41,0.5,3951,8534,3238,7033,46,709,1983,35.8,1349,1849,73,743,2688,3431,2005,1186,708,323,356,1708,1651,-41,2015-16
258,Utah Jazz,82,40,42,0.488,3991,8010,2957,6593,44.9,694,1956,35.5,1402,1885,74.4,880,2665,3545,1554,1224,631,425,385,1655,1629,147,2015-16
259,Orlando Magic,82,35,47,0.427,3981,8369,3242,7120,45.5,636,1818,35,1249,1649,75.7,843,2709,3552,1933,1155,673,417,448,1701,1497,-133,2015-16
260,Denver Nuggets,82,33,49,0.402,3966,8355,3093,7003,44.2,656,1943,33.8,1513,1974,76.6,941,2718,3659,1858,1202,609,395,517,1723,1712,-254,2015-16
261,Milwaukee Bucks,82,33,49,0.402,3966,8122,3145,6740,46.7,440,1277,34.5,1392,1863,74.7,858,2559,3417,1895,1247,672,475,462,1695,1600,-343,2015-16
262,Sacramento Kings,82,33,49,0.402,3961,8740,3283,7083,46.4,660,1839,35.9,1514,2089,72.5,868,2760,3628,2009,1326,733,368,437,1676,1800,-203,2015-16
263,New York Knicks,82,32,50,0.39,3961,8065,3022,6886,43.9,610,1762,34.6,1411,1753,80.5,850,2788,3638,1682,1099,467,466,343,1616,1520,-224,2015-16
264,New Orleans Pelicans,82,30,52,0.366,3956,8423,3153,7040,44.8,702,1951,36,1415,1823,77.6,782,2712,3494,1818,1102,633,342,423,1713,1630,-311,2015-16
265,Minnesota Timberwolves,82,29,53,0.354,3976,8398,3095,6668,46.4,455,1347,33.8,1753,2213,79.2,821,2587,3408,1916,1231,656,375,427,1696,1768,-290,2015-16
266,Phoenix Suns,82,23,59,0.28,3941,8271,3051,7018,43.5,738,2118,34.8,1431,1905,75.1,943,2733,3676,1701,1410,632,313,449,1858,1770,-546,2015-16
267,Brooklyn Nets,82,21,61,0.256,3951,8089,3136,6920,45.3,531,1508,35.2,1286,1699,75.7,863,2614,3477,1829,1212,627,332,430,1476,1510,-603,2015-16
268,Los Angeles Lakers,82,17,65,0.207,3946,7982,2880,6956,41.4,639,2016,31.7,1583,2028,78.1,878,2645,3523,1478,1124,593,337,458,1662,1573,-784,2015-16
269,Philadelphia 76ers,82,10,72,0.122,3961,7988,2970,6887,43.1,764,2255,33.9,1284,1850,69.4,777,2605,3382,1765,1343,680,495,466,1780,1571,-839,2015-16
270,Golden State Warriors,82,67,15,0.817,3946,9016,3410,7137,47.8,883,2217,39.8,1313,1709,76.8,853,2814,3667,2248,1185,762,496,293,1628,1541,828,2014-15
271,Atlanta Hawks,82,60,22,0.732,3946,8409,3121,6699,46.6,818,2152,38,1349,1735,77.8,715,2611,3326,2111,1167,744,380,404,1457,1611,445,2014-15
272,Houston Rockets,82,56,26,0.683,3961,8522,3032,6832,44.4,933,2680,34.8,1525,2133,71.5,958,2624,3582,1820,1366,777,407,437,1803,1730,282,2014-15
273,Los Angeles Clippers,82,56,26,0.683,3946,8751,3228,6830,47.3,827,2202,37.6,1468,2067,71,784,2711,3495,2031,1012,640,409,245,1749,1766,540,2014-15
274,Memphis Grizzlies,82,55,27,0.671,3981,8062,3097,6763,45.8,423,1246,33.9,1445,1869,77.3,856,2634,3490,1777,1094,700,347,424,1567,1662,266,2014-15
275,San Antonio Spurs,82,55,27,0.671,3991,8461,3208,6854,46.8,677,1847,36.7,1368,1754,78,806,2772,3578,2000,1146,657,444,362,1564,1613,508,2014-15
276,Cleveland Cavaliers,82,53,29,0.646,3956,8457,3089,6739,45.8,826,2253,36.7,1453,1934,75.1,911,2612,3523,1814,1171,603,340,368,1510,1685,367,2014-15
277,Portland Trail Blazers,82,51,31,0.622,3971,8429,3175,7049,45,807,2231,36.2,1272,1589,80.1,879,2881,3760,1799,1117,525,372,297,1494,1534,347,2014-15
278,Chicago Bulls,82,50,32,0.61,3976,8265,3001,6797,44.2,645,1825,35.3,1618,2067,78.3,959,2792,3751,1781,1145,514,476,443,1495,1736,246,2014-15
279,Dallas Mavericks,82,50,32,0.61,3976,8628,3255,7036,46.3,732,2082,35.2,1386,1843,75.2,858,2608,3466,1846,1062,663,371,314,1644,1816,238,2014-15
280,Toronto Raptors,82,49,33,0.598,3971,8527,3108,6829,45.5,726,2060,35.2,1585,2014,78.7,881,2526,3407,1701,1057,615,357,413,1712,1668,252,2014-15
281,Washington Wizards,82,46,36,0.561,3991,8080,3139,6790,46.2,497,1381,36,1305,1758,74.2,862,2801,3663,1969,1233,601,378,350,1707,1610,59,2014-15
282,New Orleans Pelicans,82,45,37,0.549,3956,8147,3108,6795,45.7,586,1583,37,1345,1790,75.1,942,2621,3563,1806,1087,553,510,475,1530,1533,65,2014-15
283,Oklahoma City Thunder,82,45,37,0.549,3966,8524,3184,7119,44.7,632,1864,33.9,1524,2020,75.4,1052,2844,3896,1681,1205,598,454,377,1829,1675,179,2014-15
284,Milwaukee Bucks,82,41,41,0.5,3986,8023,3083,6722,45.9,545,1500,36.3,1312,1734,75.7,876,2574,3450,1932,1373,789,403,392,1814,1649,35,2014-15
285,Boston Celtics,82,40,42,0.488,3976,8312,3193,7211,44.3,660,2021,32.7,1266,1678,75.4,910,2685,3595,2009,1133,674,294,431,1738,1545,13,2014-15
286,Phoenix Suns,82,39,43,0.476,3976,8397,3178,7038,45.2,698,2048,34.1,1343,1767,76,896,2643,3539,1659,1238,700,385,337,1744,1664,-74,2014-15
287,Brooklyn Nets,82,38,44,0.463,3986,8038,3069,6804,45.1,541,1633,33.1,1359,1817,74.8,846,2627,3473,1716,1133,576,340,372,1579,1641,-236,2014-15
288,Indiana Pacers,82,38,44,0.463,3971,7981,2998,6824,43.9,612,1740,35.2,1373,1817,75.6,856,2822,3678,1757,1147,505,375,386,1742,1754,23,2014-15
289,Utah Jazz,82,38,44,0.463,3941,7801,2900,6492,44.7,610,1781,34.3,1391,1929,72.1,988,2617,3605,1632,1256,623,489,382,1583,1604,18,2014-15
290,Miami Heat,82,37,45,0.451,3946,7764,2885,6330,45.6,556,1659,33.5,1438,1940,74.1,747,2461,3208,1626,1214,642,372,359,1636,1715,-213,2014-15
291,Charlotte Hornets,82,33,49,0.402,3981,7721,2913,6932,42,498,1566,31.8,1397,1867,74.8,820,2793,3613,1654,976,499,448,440,1494,1708,-260,2014-15
292,Detroit Pistons,82,32,50,0.39,3966,8077,3041,7038,43.2,703,2043,34.4,1292,1838,70.3,1051,2630,3681,1771,1099,623,383,391,1559,1584,-82,2014-15
293,Denver Nuggets,82,30,52,0.366,3976,8320,3099,7158,43.3,660,2032,32.5,1462,1991,73.4,1012,2653,3665,1788,1166,641,367,504,1882,1698,-291,2014-15
294,Sacramento Kings,82,29,53,0.354,3971,8310,3010,6617,45.5,461,1350,34.1,1829,2400,76.2,895,2728,3623,1667,1333,550,324,508,1696,1958,-304,2014-15
295,Orlando Magic,82,25,57,0.305,3951,7847,3076,6792,45.3,554,1598,34.7,1141,1565,72.9,822,2607,3429,1692,1221,647,314,441,1714,1467,-469,2014-15
296,Los Angeles Lakers,82,21,61,0.256,3986,8073,3054,7020,43.5,532,1546,34.4,1433,1935,74.1,952,2647,3599,1715,1086,578,366,396,1741,1589,-561,2014-15
297,Philadelphia 76ers,82,18,64,0.22,3961,7542,2765,6777,40.8,692,2160,32,1320,1953,67.6,978,2536,3514,1683,1453,789,487,454,1778,1657,-736,2014-15
298,New York Knicks,82,17,65,0.207,3971,7535,2882,6726,42.8,560,1614,34.7,1211,1575,76.9,867,2443,3310,1746,1206,575,382,353,1768,1564,-764,2014-15
299,Minnesota Timberwolves,82,16,66,0.195,3961,8016,2986,6820,43.8,406,1223,33.2,1638,2110,77.6,949,2406,3355,1771,1231,668,327,449,1571,1751,-721,2014-15
300,San Antonio Spurs,82,62,20,0.756,3951,8639,3326,6844,48.6,698,1757,39.7,1289,1642,78.5,762,2786,3548,2064,1180,604,420,379,1495,1585,633,2013-14
301,Oklahoma City Thunder,82,59,23,0.72,3961,8705,3194,6782,47.1,664,1839,36.1,1653,2052,80.6,887,2781,3668,1794,1256,678,501,296,1858,1672,520,2013-14
302,Los Angeles Clippers,82,57,25,0.695,3951,8850,3208,6761,47.4,693,1966,35.2,1741,2384,73,858,2668,3526,2016,1136,703,397,284,1767,1919,572,2013-14
303,Indiana Pacers,82,56,26,0.683,3956,7933,2949,6573,44.9,550,1542,35.7,1485,1907,77.9,834,2831,3665,1651,1237,550,446,378,1675,1793,361,2013-14
304,Houston Rockets,82,54,28,0.659,3966,8829,3118,6603,47.2,779,2179,35.8,1814,2549,71.2,920,2797,3717,1755,1323,621,461,460,1676,1993,374,2013-14
305,Miami Heat,82,54,28,0.659,3976,8380,3142,6272,50.1,665,1829,36.4,1431,1884,76,627,2397,3024,1847,1212,732,367,256,1596,1675,390,2013-14
306,Portland Trail Blazers,82,54,28,0.659,3971,8753,3207,7134,45,770,2071,37.2,1569,1926,81.5,1022,2786,3808,1904,1125,454,387,304,1576,1698,327,2013-14
307,Golden State Warriors,82,51,31,0.622,3966,8549,3236,7005,46.2,774,2037,38,1303,1731,75.3,896,2819,3715,1912,1247,642,407,342,1784,1584,394,2013-14
308,Memphis Grizzlies,82,50,32,0.61,3961,7884,3122,6723,46.4,405,1147,35.3,1235,1666,74.1,950,2526,3476,1792,1124,631,375,410,1568,1553,129,2013-14
309,Dallas Mavericks,82,49,33,0.598,3966,8597,3249,6858,47.4,721,1877,38.4,1378,1733,79.5,840,2514,3354,1935,1110,704,356,288,1636,1633,197,2013-14
310,Chicago Bulls,82,48,34,0.585,3986,7680,2843,6577,43.2,508,1459,34.8,1486,1908,77.9,937,2683,3620,1860,1223,594,424,490,1565,1714,152,2013-14
311,Phoenix Suns,82,48,34,0.585,3951,8629,3172,6845,46.3,765,2055,37.2,1520,2004,75.8,928,2601,3529,1563,1258,688,374,332,1798,1749,216,2013-14
312,Toronto Raptors,82,48,34,0.585,3991,8305,2992,6718,44.5,713,1917,37.2,1608,2055,78.2,935,2552,3487,1737,1159,577,343,352,1882,1815,266,2013-14
313,Brooklyn Nets,82,44,38,0.537,3976,8079,2931,6391,45.9,709,1922,36.9,1508,2002,75.3,721,2407,3128,1714,1191,705,311,337,1777,1704,-82,2013-14
314,Washington Wizards,82,44,38,0.537,4011,8254,3177,6920,45.9,647,1704,38,1253,1715,73.1,886,2573,3459,1909,1204,668,377,320,1675,1600,104,2013-14
315,Charlotte Bobcats,82,43,39,0.524,3981,7942,2976,6730,44.2,516,1471,35.1,1474,2000,73.7,776,2724,3500,1778,1010,499,421,415,1493,1716,-18,2013-14
316,Minnesota Timberwolves,82,40,42,0.488,3971,8768,3189,7175,44.4,600,1757,34.1,1790,2301,77.8,1024,2644,3668,1963,1142,718,297,457,1504,1936,219,2013-14
317,Atlanta Hawks,82,38,44,0.463,3966,8282,3061,6688,45.8,768,2116,36.3,1392,1782,78.1,713,2565,3278,2041,1251,680,326,354,1577,1643,-39,2013-14
318,New York Knicks,82,37,45,0.451,3971,8084,3027,6739,44.9,759,2038,37.2,1271,1670,76.1,870,2437,3307,1641,1063,631,367,277,1815,1611,-65,2013-14
319,Denver Nuggets,82,36,46,0.439,3951,8559,3147,7042,44.7,702,1959,35.8,1563,2154,72.6,1009,2717,3726,1838,1305,615,459,459,1890,1778,-176,2013-14
320,New Orleans Pelicans,82,34,48,0.415,3971,8177,3101,6761,45.9,486,1303,37.3,1489,1936,76.9,933,2486,3419,1745,1129,647,523,504,1857,1664,-222,2013-14
321,Cleveland Cavaliers,82,33,49,0.402,3986,8054,3036,6955,43.7,584,1640,35.6,1398,1861,75.1,989,2629,3618,1738,1163,579,304,461,1640,1599,-270,2013-14
322,Detroit Pistons,82,29,53,0.354,3956,8286,3182,7124,44.7,507,1580,32.1,1415,2111,67,1196,2525,3721,1714,1193,687,395,403,1666,1699,-300,2013-14
323,Sacramento Kings,82,28,54,0.341,3966,8241,3026,6766,44.7,491,1475,33.3,1698,2237,75.9,990,2656,3646,1547,1249,587,318,459,1849,1897,-238,2013-14
324,Los Angeles Lakers,82,27,55,0.329,3941,8442,3139,6980,45,774,2032,38.1,1390,1835,75.7,745,2620,3365,2006,1239,611,446,387,1627,1580,-516,2013-14
325,Boston Celtics,82,25,57,0.305,3946,7892,2996,6883,43.5,575,1729,33.3,1325,1706,77.7,980,2505,3485,1726,1261,584,343,373,1743,1564,-366,2013-14
326,Utah Jazz,82,25,57,0.305,3956,7791,2951,6652,44.4,543,1577,34.4,1346,1803,74.7,904,2477,3381,1664,1200,570,366,401,1699,1673,-588,2013-14
327,Orlando Magic,82,23,59,0.28,3991,7914,3022,6784,44.5,563,1596,35.3,1307,1714,76.3,794,2654,3448,1726,1222,630,350,445,1678,1500,-446,2013-14
328,Philadelphia 76ers,82,19,63,0.232,3971,8155,3108,7150,43.5,577,1847,31.2,1362,1918,71,949,2556,3505,1791,1384,765,330,558,1844,1686,-857,2013-14
329,Milwaukee Bucks,82,15,67,0.183,3976,7829,2952,6737,43.8,548,1553,35.3,1377,1843,74.7,971,2399,3370,1760,1238,541,403,413,1713,1690,-671,2013-14
330,Miami Heat,82,66,16,0.805,3976,8436,3148,6348,49.6,717,1809,39.6,1423,1887,75.4,676,2490,3166,1890,1143,710,441,262,1533,1673,645,2012-13
331,Oklahoma City Thunder,82,60,22,0.732,3966,8669,3126,6504,48.1,598,1588,37.7,1819,2196,82.8,854,2725,3579,1753,1253,679,624,322,1654,1698,755,2012-13
332,San Antonio Spurs,82,58,24,0.707,3976,8448,3210,6675,48.1,663,1764,37.6,1365,1725,79.1,666,2721,3387,2058,1206,695,446,405,1427,1565,525,2012-13
333,Denver Nuggets,82,57,25,0.695,3981,8704,3339,6983,47.8,521,1518,34.3,1505,2148,70.1,1092,2601,3693,2002,1253,762,533,554,1682,1775,417,2012-13
334,Los Angeles Clippers,82,56,26,0.683,3946,8289,3160,6608,47.8,627,1752,35.8,1342,1888,71.1,938,2475,3413,1958,1197,784,461,335,1716,1712,529,2012-13
335,Memphis Grizzlies,82,56,26,0.683,3961,7659,2964,6679,44.4,382,1107,34.5,1349,1746,77.3,1059,2445,3504,1715,1144,703,436,450,1660,1643,340,2012-13
336,New York Knicks,82,54,28,0.659,3946,8196,2996,6689,44.8,891,2371,37.6,1313,1729,75.9,890,2436,3326,1579,988,672,294,327,1650,1576,347,2012-13
337,Indiana Pacers,81,49,32,0.605,3918,7674,2845,6525,43.6,555,1599,34.7,1429,1915,74.6,1043,2671,3714,1645,1227,580,513,459,1623,1777,326,2012-13
338,Brooklyn Nets,82,49,33,0.598,3971,7944,2942,6544,45,628,1760,35.7,1432,1958,73.1,1047,2460,3507,1668,1206,599,391,390,1500,1751,146,2012-13
339,Golden State Warriors,82,47,35,0.573,3961,8296,3130,6840,45.8,658,1632,40.3,1378,1744,79,885,2801,3686,1845,1236,567,346,399,1753,1571,73,2012-13
340,Chicago Bulls,82,45,37,0.549,3966,7641,2926,6698,43.7,446,1265,35.3,1343,1738,77.3,1026,2514,3540,1886,1171,588,417,477,1617,1609,26,2012-13
341,Houston Rockets,82,45,37,0.549,3956,8688,3124,6782,46.1,867,2369,36.6,1573,2087,75.4,909,2652,3561,1902,1348,679,359,498,1662,1674,285,2012-13
342,Los Angeles Lakers,82,45,37,0.549,3951,8381,3041,6640,45.8,715,2015,35.5,1584,2289,69.2,942,2732,3674,1818,1232,576,429,396,1467,1891,95,2012-13
343,Atlanta Hawks,82,44,38,0.537,3971,8032,3084,6644,46.4,706,1901,37.1,1158,1619,71.5,758,2593,3351,2007,1219,664,369,350,1473,1543,33,2012-13
344,Utah Jazz,82,43,39,0.524,3976,8038,3046,6710,45.4,507,1385,36.6,1439,1883,76.4,989,2457,3446,1859,1210,690,515,480,1750,1670,-7,2012-13
345,Boston Celtics,81,41,40,0.506,3968,7818,3001,6459,46.5,498,1390,35.8,1318,1698,77.6,654,2533,3187,1843,1181,667,365,378,1717,1574,-18,2012-13
346,Dallas Mavericks,82,41,41,0.5,3996,8293,3182,6892,46.2,606,1628,37.2,1323,1669,79.3,767,2670,3437,1906,1144,648,454,340,1698,1547,-49,2012-13
347,Milwaukee Bucks,82,38,44,0.463,3966,8108,3128,7197,43.5,601,1670,36,1251,1700,73.6,1068,2537,3605,1876,1156,685,550,362,1554,1567,-123,2012-13
348,Philadelphia 76ers,82,34,48,0.415,3951,7640,3059,6895,44.4,518,1438,36,1004,1377,72.9,896,2493,3389,1867,1070,609,384,396,1505,1331,-274,2012-13
349,Toronto Raptors,82,34,48,0.415,3996,7971,2979,6685,44.6,571,1665,34.3,1442,1831,78.8,871,2426,3297,1765,1124,595,392,387,1836,1650,-121,2012-13
350,Portland Trail Blazers,82,33,49,0.402,3971,7995,3009,6715,44.8,673,1904,35.3,1304,1680,77.6,874,2474,3348,1784,1203,538,353,359,1518,1537,-260,2012-13
351,Minnesota Timberwolves,82,31,51,0.378,3946,7851,2943,6702,43.9,450,1475,30.5,1515,2042,74.2,973,2473,3446,1836,1214,700,387,481,1509,1847,-194,2012-13
352,Detroit Pistons,82,29,53,0.354,3961,7778,2979,6638,44.9,513,1440,35.6,1307,1870,69.9,991,2463,3454,1742,1241,574,400,472,1623,1630,-327,2012-13
353,Washington Wizards,82,29,53,0.354,3971,7644,2910,6693,43.5,545,1495,36.5,1279,1746,73.3,887,2652,3539,1775,1238,598,376,358,1681,1569,-208,2012-13
354,Sacramento Kings,82,28,54,0.341,3966,8219,3086,6904,44.7,610,1681,36.3,1437,1869,76.9,943,2385,3328,1708,1199,671,342,517,1717,1636,-400,2012-13
355,New Orleans Hornets,82,27,55,0.329,3956,7714,2955,6589,44.8,535,1474,36.3,1269,1636,77.6,988,2426,3414,1721,1193,520,440,492,1673,1534,-317,2012-13
356,Phoenix Suns,82,25,57,0.305,3961,7805,3061,6917,44.3,480,1455,33,1203,1618,74.4,959,2454,3413,1855,1278,659,434,421,1688,1511,-530,2012-13
357,Cleveland Cavaliers,82,24,58,0.293,3946,7913,2993,6901,43.4,547,1581,34.6,1380,1826,75.6,1004,2359,3363,1694,1149,647,334,560,1737,1615,-384,2012-13
358,Charlotte Bobcats,82,21,61,0.256,3961,7661,2823,6649,42.5,469,1399,33.5,1546,2060,75,917,2389,3306,1587,1153,591,479,565,1561,1746,-757,2012-13
